Real		Imaginary
1.77987		-1.10021
-5.50575		6.86976
2.0064		-0.522864
-1.22514		-0.538035
-3.9457		-5.57262
3.49445		0.97868
-1.60563		-2.87947
-1.13529		-8.2266
6.84573		-4.25877
-7.85289		-0.77593
-6.82351		8.04516
3.88016		-0.251786
4.22757		0.73781
-1.25406		3.24693
-4.90805		-0.76936
4.06475		-5.47488
0.706159		6.1621
-2.05735		-0.170308
2.0956		-2.71811
-4.53356		7.36191
9.36133		3.03638
9.30981		-2.05933
-2.29139		-1.69675
9.13053		-2.27132
-5.63418		-7.43394
-8.50472		-0.210205
9.59778		4.82936
0.14351		-1.73771
-3.06466		-1.10136
-0.623545		-4.35314
-5.14815		0.094469
4.50054		-1.35162
-0.257075		0.331782
-1.05951		-9.88771
-1.66841		-0.0130685
-5.51664		-1.33651
5.27031		-7.42845
1.84021		-7.60075
-5.36622		-4.84062
-0.110762		1.40216
-2.02743		-0.839195
1.42199		-4.42462
0.179663		4.20042
3.81365		-0.666033
-0.0770659		1.69734
4.88753		-4.93786
6.19622		9.16159
3.19266		-1.31277
-5.76356		-0.188539
3.58915		-2.9367
-7.02925		-3.82838
-2.87698		-6.3832
-7.60508		1.39053
-2.65117		4.84363
-0.282751		3.94184
5.24568		4.19562
-5.52841		-4.87451
-2.01549		-0.358622
3.08221		4.44841
-1.65799		2.46404
-0.0160514		3.21516
-0.320912		-0.265604
-1.79724		2.11173
0.0900653		-0.995307
-7.04855		-6.52762
-2.33305		2.33824
4.24702		-5.55611
0.649626		-2.19797
-6.88612		0.507719
-3.64096		5.82499
0.535482		3.82709
1.2093		-7.62259
-6.07495		0.72689
-0.339121		-6.72466
5.64833		-2.68659
-1.24148		2.08041
-3.11775		-7.13301
2.14688		1.61076
3.5014		8.23163
-0.865299		5.71862
-5.70267		-3.40321
4.172		4.01765
-4.12305		-1.88816
0.419559		-4.43467
-2.85933		3.12969
1.58637		-2.04491
2.16219		-9.54356
0.532667		-1.26675
-0.519709		-7.19983
4.97121		-3.76217
-4.14736		1.74296
-0.281695		0.383933
1.65555		0.903314
3.01863		-2.37586
-0.888463		-3.27532
2.27055		2.88556
3.41461		6.18252
3.47801		-1.77027
-7.16336		-5.53073
-0.0806841		7.683
-7.89336		-4.73617
-7.09897		-3.72942
-12.8208		-2.74484
-2.48262		2.54709
0.0901		-1.88248
-10.1212		1.20121
-0.702308		-5.60989
-7.35002		6.7657
-8.13382		0.211099
6.49862		3.57959
1.09313		-0.345578
3.9321		-8.66424
1.2896		-0.172076
2.08656		-11.0126
-0.787735		-1.0531
7.11562		-1.09368
2.87672		0.0493526
-2.40972		1.8134
-2.96361		-7.50198
8.76833		-0.403236
-8.25156		-3.04961
4.31202		-2.71619
2.06697		4.48381
-1.60102		4.58611
2.03454		2.19067
8.63041		1.94233
-6.71305		-3.01323
0.826356		5.49927
0.243457		0.194514
-3.92122		-6.03935
2.07584		-7.17356
-7.31458		4.28285
-4.99054		-1.6208
3.61224		-0.331042
4.26758		2.88656
-3.90874		2.7393
-5.23034		-1.91761
3.1265		-3.35647
6.65694		3.40586
4.72544		-4.34323
2.12448		-2.46571
2.80336		2.00093
-3.92879		3.02187
7.96908		-4.25635
-3.08449		-3.35871
3.08396		3.51805
-9.4234		2.82859
-0.105309		-3.411
-4.18057		-1.96941
-2.37598		1.28584
1.56722		-1.24829
0.28417		-3.14076
-4.37083		1.9596
2.00293		5.64545
3.74675		-0.330704
-4.3982		-4.71026
5.31851		-2.39171
-12.204		1.40065
-0.937186		-6.01524
7.67459		-2.35237
0.531778		-0.817392
-0.0824508		0.590593
8.18569		3.95454
5.60195		-6.65255
1.40102		3.83796
-1.6267		0.82952
-0.214557		-4.8398
-1.37354		0.741886
6.1141		-4.16594
2.37805		2.33649
4.26494		2.77225
-3.85779		-1.00261
-3.3637		-1.97576
2.67133		-0.282074
1.08298		-0.489374
2.10418		3.37031
2.48211		4.61883
0.781579		-4.4789
8.1982		-4.09372
7.90894		2.25248
-1.43199		-2.90261
2.19818		-0.866045
4.24859		5.28052
4.51614		-1.01439
0.192942		1.21794
-6.38018		1.89068
-2.59501		-3.06004
0.646138		-2.07032
0.0555918		1.20181
6.70053		-1.4746
1.32333		-1.92338
-2.4011		-1.42989
-3.04222		5.93888
-1.25854		-6.27277
9.57022		-1.27959
1.08538		0.822182
5.27489		-4.73747
1.40451		-1.16183
-8.01093		-1.72117
-0.0488768		-8.31597
2.02459		2.01421
-7.23177		0.0780874
1.29671		6.54289
